CustomerID,Lookalikes
C0001,"[('C0181', 0.9346517961588328), ('C0120', 0.8975310829300924), ('C0184', 0.8640730287089359)]"
C0002,"[('C0088', 0.9869774905277904), ('C0106', 0.9002251655992599), ('C0134', 0.8263011297911612)]"
C0003,"[('C0031', 0.8639478762562338), ('C0025', 0.8621584309391507), ('C0052', 0.8448070519896925)]"
C0004,"[('C0165', 0.9738080007914048), ('C0169', 0.9239005861682359), ('C0087', 0.9188289414286034)]"
C0005,"[('C0140', 0.9906947166711582), ('C0186', 0.9809645644259002), ('C0146', 0.9271043756247463)]"
C0006,"[('C0187', 0.9468086192488325), ('C0126', 0.9445779125594571), ('C0118', 0.9357052336996075)]"
C0007,"[('C0146', 0.9964960009625495), ('C0115', 0.9682843726598253), ('C0186', 0.9481301672232154)]"
C0008,"[('C0065', 0.8106787250085865), ('C0160', 0.78622738224074), ('C0109', 0.7782116140918641)]"
C0009,"[('C0061', 0.9682324770160674), ('C0198', 0.9456198660166512), ('C0103', 0.9194743627131416)]"
C0010,"[('C0111', 0.9602659479910558), ('C0062', 0.8883745564803462), ('C0121', 0.8375619007950517)]"
C0011,"[('C0137', 0.9632006102693751), ('C0126', 0.9571181813946101), ('C0191', 0.9335962603851242)]"
C0012,"[('C0163', 0.980879650665658), ('C0113', 0.923363496904443), ('C0104', 0.920079095148028)]"
C0013,"[('C0099', 0.9833442181673926), ('C0108', 0.8750978621524497), ('C0082', 0.8381557414299512)]"
C0014,"[('C0060', 0.9452528761174568), ('C0097', 0.9121951264603237), ('C0172', 0.8919254890508416)]"
C0015,"[('C0131', 0.9680903876979043), ('C0058', 0.8804229461631478), ('C0125', 0.859597343337232)]"
C0016,"[('C0042', 0.9257952460948498), ('C0040', 0.8134271801519684), ('C0183', 0.8130108344016919)]"
C0017,"[('C0075', 0.9603450684037765), ('C0041', 0.944765598144918), ('C0057', 0.906805073439041)]"
C0018,"[('C0046', 0.9486064752572864), ('C0122', 0.94524681225597), ('C0194', 0.8931237487734404)]"
C0019,"[('C0073', 0.9914838581938795), ('C0132', 0.9494640944872205), ('C0063', 0.8959280953303979)]"
C0020,"[('C0130', 0.8586846347604649), ('C0058', 0.8230589526646058), ('C0015', 0.8174535604863699)]"
